Data,Abertura,Max,Min,Fechamento
2/10/2021,119750,119915,117830,118185
2/9/2021,119600,119980,118175,119500
2/8/2021,120520,120885,119040,119670
2/5/2021,119675,121195,119365,120500
2/4/2021,120110,120685,118825,118950
2/3/2021,118935,120380,118550,119840
2/2/2021,118485,119915,117710,118610
2/1/2021,116350,117990,115660,117450
1/29/2021,118600,118680,114710,115000
1/28/2021,115675,119475,115465,119325
1/27/2021,115745,117870,114820,115500
1/26/2021,116790,119195,116050,116300
1/22/2021,116850,117945,116065,117500
1/21/2021,120200,120320,117745,118200
1/20/2021,120580,121520,118670,119695
1/19/2021,122195,122440,119255,120625
1/18/2021,120730,122780,119960,121265
1/15/2021,122705,122745,120075,120350
1/14/2021,122805,124045,122335,123200
1/13/2021,123945,124395,121020,122270
1/12/2021,123800,124720,123230,124170
1/11/2021,124500,124915,122460,123500
1/8/2021,123150,125470,122365,125365
1/7/2021,119560,123480,119230,123180
1/6/2021,119220,121075,118895,119060
1/5/2021,118990,119965,116765,119050
1/4/2021,120270,120585,118135,118695
12/30/2020,119870,120380,119005,119175
12/29/2020,119800,120045,118870,119580
12/28/2020,118500,119615,118330,119550
12/23/2020,117305,118560,117055,117870
12/22/2020,116300,117135,115750,117040
12/21/2020,115815,117290,115085,115900
12/18/2020,118115,119645,117730,118040
12/17/2020,118075,119290,117890,118830
12/16/2020,116590,118340,115655,117870
12/15/2020,115196,116690,115126,116600
12/14/2020,115963,116249,114580,114615
12/11/2020,114645,115848,114209,115477
12/10/2020,113492,115648,112916,115648
12/9/2020,114334,114485,112745,113281
12/8/2020,113412,114680,113041,114043
12/7/2020,113382,114871,112795,114043
12/4/2020,113266,114234,113166,113818
12/3/2020,112093,113733,112038,112740
12/2/2020,111637,112645,110910,112194
12/1/2020,110976,112254,110610,111687
11/30/2020,110359,111352,109111,109777
11/27/2020,110770,111968,110610,110675
11/26/2020,110199,110685,109687,110610
11/25/2020,109833,111001,109582,110344
11/24/2020,108394,110610,107852,110474
11/23/2020,107211,107888,106905,107727
11/20/2020,107121,107391,105978,106474
11/19/2020,106123,107416,105852,106825
11/18/2020,108163,108198,106173,106173
11/17/2020,106524,108213,106188,107777
11/16/2020,106524,107156,105547,107156
11/13/2020,103622,105471,103341,105246
11/12/2020,105125,105522,102408,103165
11/11/2020,105682,105837,104514,105406
11/10/2020,103767,106213,103657,105156
11/9/2020,104384,105627,103516,103516
11/6/2020,100654,101536,100248,101296
11/5/2020,99541,101381,99406,101341
11/4/2020,96403,98724,96403,98644
11/3/2020,96338,96784,95380,95997
10/30/2020,95751,96589,93872,94779
10/29/2020,95481,97145,93796,96012
10/28/2020,98554,98629,95375,95375
10/27/2020,102153,102203,99025,99105
10/26/2020,101105,102233,100198,101616
10/23/2020,102684,102744,101536,101892
10/22/2020,100920,102709,100824,102639
10/21/2020,100759,102138,100539,100970
10/20/2020,99456,101230,99376,101190
10/19/2020,99406,100428,98824,99195
10/16/2020,99596,99692,98534,98955
10/15/2020,98428,99987,98163,99300
10/14/2020,98443,100133,98393,99506
10/13/2020,98754,99630,97779,98654
10/9/2020,98478,99277,97663,98221
10/8/2020,96738,98644,96094,98226
10/7/2020,96803,96999,95314,96350
10/6/2020,97291,98050,95682,96064
10/5/2020,94706,97029,94208,96461
10/2/2020,95053,96602,93665,93846
10/1/2020,95928,96149,94082,95792
9/30/2020,93946,95948,93685,95631
9/29/2020,95169,96079,93765,94012
9/28/2020,98875,99026,94862,95053
9/25/2020,97070,97744,96109,97653
9/24/2020,95958,98654,95858,97547
9/23/2020,98070,98091,96064,96169
9/22/2020,97507,98347,96969,97542
9/21/2020,97286,97940,96381,97507
9/18/2020,100686,100741,98533,98664
9/17/2020,99428,100977,99142,100837
9/16/2020,101415,101470,100243,100283
9/15/2020,101531,101742,100283,101013
9/14/2020,99831,101249,99584,100756
9/11/2020,99831,100142,98362,98724
9/10/2020,101581,102285,98885,98935
9/9/2020,101370,102436,101148,101903
9/8/2020,100495,101480,99992,100650
9/4/2020,101510,102602,99609,101581
9/3/2020,102692,104050,100414,101651
9/2/2020,103200,103693,101531,103120
9/1/2020,101038,103075,100877,102788
8/31/2020,103034,103049,100102,100313
8/28/2020,102129,103185,101581,103100
8/27/2020,101254,102421,100510,101651
8/26/2020,102592,103311,100032,101219
8/25/2020,103437,103693,102325,102687
8/24/2020,103210,103552,102365,103150
8/21/2020,101485,102411,101078,101943
8/20/2020,99609,102632,99469,101943
8/19/2020,102260,103326,101244,101581
8/18/2020,101767,103120,101551,102733
8/17/2020,101686,102521,99242,100384
8/14/2020,100982,102587,100359,102184
8/13/2020,103200,104131,100852,100982
8/12/2020,103482,103965,101445,103477
8/11/2020,105099,105447,102606,103100
8/10/2020,103966,104742,101986,103860
8/7/2020,103921,105059,102656,103442
8/6/2020,103140,105437,102843,104646
8/5/2020,103341,104636,102682,103644
8/4/2020,103211,103654,100692,102556
8/3/2020,104767,104873,103080,103865
7/31/2020,106203,106580,103382,103865
7/30/2020,105598,106666,104701,106626
7/29/2020,105215,106575,105084,106208
7/28/2020,104571,105583,104268,104671
7/27/2020,103896,105472,103336,104953
7/24/2020,102858,103598,101659,103291
7/23/2020,105966,106087,102878,103226
7/22/2020,104802,105920,104072,105271
7/21/2020,105905,106303,104581,105205
7/20/2020,103644,105326,103518,104994
7/17/2020,102007,104067,101891,104067
7/16/2020,102112,102384,100974,101634
7/15/2020,102561,103054,101558,102803
7/14/2020,99931,101432,99090,101387
7/13/2020,101498,101790,99030,99030
7/10/2020,99634,100994,99307,100642
7/9/2020,100642,101130,99659,99836
7/8/2020,99080,100919,98939,100893
7/7/2020,99261,99846,98093,98677
7/6/2020,99337,100229,99030,99997
7/3/2020,97347,97710,96723,97710
7/2/2020,98239,98909,96834,97196
7/1/2020,95121,97831,95091,96844
